+----------------------------------------------------------------------+
|  OpenHands SDK v1.45.0                                               |
|                                                                      |
|  Report a bug: github.com/OpenHands/software-agent-sdk/issues        |
|  Get help: openhands.dev/joinslack                                   |
|  Scale up: openhands.dev/product/sdk                                 |
|                                                                      |
|  Set OPENHANDS_SUPPRESS_BANNER=1 to hide this message                |
+----------------------------------------------------------------------+

[92m10:29:40 - openhands:INFO[0m: server_config.py:50 - Using config class server.config.SaaSServerConfig
{"message": "Tavily API key not configured, skipping Tavily MCP proxy", "severity": "INFO", "module": "mcp_router", "funcName": "init_tavily_proxy", "lineno": 59, "ts": "2026-09-10T14:29:41.508704+00:00"}
Can't instantiate abstract class UserAuthorizerInjector without an implementation for abstract method 'inject'
{"message": "Using default UserAuthorizer", "severity": "INFO", "module": "user_authorizer", "funcName": "depends_user_authorizer", "lineno": 43, "ts": "2026-09-10T14:29:41.618280+00:00"}
{"message": "Started server process [22113]", "severity": "INFO", "module": "server", "funcName": "_serve", "lineno": 92, "color_message": "Started server process [\u001b[36m%d\u001b[0m]", "ts": "2026-09-10T14:29:42.227358+00:00"}
{"message": "Waiting for application startup.", "severity": "INFO", "module": "on", "funcName": "startup", "lineno": 48, "ts": "2026-09-10T14:29:42.227439+00:00"}
{"message": "StreamableHTTP session manager started", "severity": "INFO", "module": "streamable_http_manager", "funcName": "run", "lineno": 128, "ts": "2026-09-10T14:29:42.238139+00:00"}
{"message": "ApiKey.org setup primary join org.id = api_keys.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.269564+00:00"}
{"message": "ApiKey.org setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.269669+00:00"}
{"message": "ApiKey.org synchronize pairs [(org.id => api_keys.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.269696+00:00"}
{"message": "ApiKey.org secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.269711+00:00"}
{"message": "ApiKey.org local/remote pairs [(api_keys.org_id / org.id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.269724+00:00"}
{"message": "ApiKey.org remote columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.269744+00:00"}
{"message": "ApiKey.org local columns [api_keys.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.269759+00:00"}
{"message": "ApiKey.org relationship direction RelationshipDirection.MANYTOONE", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.269769+00:00"}
